SiteName,SiteNameOrig,SiteCode,LocationOrig,LocationLong,Location,Latitude,Longitude,Elevation,DateTimeStart,DateTimeEnd,Comment,URIofevent
Alert,Alert,ALE,Lincoln Sea,Lincoln Sea,"Lincoln Sea, Canada",82.49,-62.42,127,16.08.04,,"BSRN station no: 18; Surface type: tundra; Topography type: hilly, rural; Station scientist: Christopher Cox (christopher.j.cox@noaa.gov)",
Alice Springs,Alice Springs,ASP,"Macdonnell Ranges, Northern Territory, Australia","Macdonnell Ranges, Northern Territory, Australia",Australia,-23.798,133.888,547,01.01.95,,"BSRN station no: 1; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669509; Station scientist: Matt Tully (m.tully@bom.gov.au)",
Barrow,Barrow,BAR,"Alaska, USA","Alaska, USA","Alaska, USA",71.323,-156.607,8,01.01.92,,"BSRN station no: 22; Surface type: tundra; Topography type: flat, rural; Station scientist: Sara Morris (Sara.Morris@noaa.gov)",Link
Bermuda,Bermuda,BER,Bermuda,Bermuda,Bermuda,32.267,-64.667,8,01.01.92,,"BSRN station no: 24; Surface type: water, ocean; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669510; Station scientist: Sara Morris (Sara.Morris@noaa.gov)",Link
Billings,Billings,BIL,"Oklahoma, United States of America","Oklahoma, USA","Oklahoma, USA",36.605,-97.516,317,01.06.93,,"BSRN station no: 28; Surface type: grass; Topography type: flat, rural; Station scientist: Charles Long (chuck.long@noaa.gov)",
Bondville,Bondville,BON,"Illinois, United States of America","Illinois, USA","Illinois, USA",40.0667,-88.3667,213,01.01.95,,"BSRN station no: 32; Surface type: grass; Topography type: flat, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",Link
Boulder,Boulder,BOS,"Colorado, United States of America","Colorado, USA","Colorado, USA",40.125,-105.237,1689,01.07.95,,"BSRN station no: 34; Surface type: grass; Topography type: hilly, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",Link
Boulder,Boulder,BOU,"Colorado, United States of America","Colorado, USA","Colorado, USA",40.05,-105.007,1577,01.01.92,30.06.16,"BSRN station no: 23; Surface type: grass; Topography type: flat, rural; Station scientist: David Longenecker (David.U.Longenecker@noaa.gov) ** Station closed in July 2016 **",
Brasilia,Brasilia,BRB,"Brasilia City, Distrito Federal, Brazil","Brasilia City, Distrito Federal, Brazil", Brazil,-15.601,-47.713,1023,01.02.06,,"BSRN station no: 71; Surface type: concrete, since 2015: shrub; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.695899; Station scientist: Enio Bueno Pereira (enio.pereira@inpe.br)",
Budapest,Budapest-Lorinc,BUD,"Hungary, Budapest","Hungary, Budapest",Hungary,47.4291,19.1822,139.1,,,BSRN Candidate. Station scientist: D_s Fekete (fekete.d@met.hu),
Cabauw,Cabauw,CAB,The Netherlands,The Netherlands,The Netherlands,51.9711,4.9267,0,01.12.05,,"BSRN station no: 53; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669511; Station scientist: Wouter Knap (knap@knmi.nl)",Link
Camborne,Camborne,CAM,United Kingdom,United Kingdom,United Kingdom,50.2167,-5.3167,88,01.01.01,,"BSRN station no: 50; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669512; Station scientist: Jonathan Tamlyn (jonathan.tamlyn@metoffice.gov.uk)",http://hdl.handle.net/10013/epic.47488.d001
Cape Baranova,Cape Baranova,CAP,Russia,Russia,Russia,79.27,101.75,,,,BSRN Candidate. Station no: 15; Station scientist: Vasili Kustov (kustov@aari.nw.ru),Link
